"Full Name","Title","Email","User Status","Phone","User Role","Created Date","Last Modified Date"
"","","sandip.pyne@brainiuminfotech.com","Active","","Student Repair Technician","05-16-2023 16:53:27","05-16-2023 16:53:27"
"John David","Some","peter4@example.com","Active","81405463","Student Repair Technician","07-01-2023 12:34:30","07-01-2023 12:34:30"
"Sherri","tewst","etst@c.com","Inactive","9123088794","Student Repair Technician","08-01-2023 23:37:44","08-01-2023 23:37:44"
"TesterSRT","TesterSRT","TesterSRT@example.com","Active","1233211234","Student Repair Technician","08-07-2023 23:52:15","08-07-2023 23:52:15"
"TesterSS","TesterSS","TesterSS@example.com","Active","1233211234","Student Repair Technician","08-07-2023 23:54:19","08-07-2023 23:54:19"
"TestAccount Dashboard Role1","testROle in UI","sd3@gmail.com","Active","1213323233","Super Student","08-08-2023 12:58:06","08-08-2023 12:58:06"
"","","demo_studentsuper@vivacitytech.com","Active","","Super Student","08-17-2023 21:01:58","08-17-2023 21:01:58"
"","","demo_studentadvanced@vivacitytech.com","Active","","Student Repair Technician","08-17-2023 21:01:59","08-17-2023 21:01:59"
"QA test manual","create st","sdnew@email.com","Active","","Student Repair Technician","08-30-2023 15:17:21","08-30-2023 15:17:21"
"demo_practicestudent@vivacitytech.com","Student","demo_practicestudent@vivacitytech.com","Active","","Practice Student","03-13-2024 20:52:28","03-13-2024 20:52:28"
"Bria Faithful","Bria","bria@gedu.demo.vivacitytech.com","Active","","Super Student","06-17-2024 23:46:06","06-17-2024 23:46:06"
"Demo UserVivacity","Miss","1733671981220@gmail.com","Active","2734623428","Super Student","12-08-2024 21:03:27","12-08-2024 21:03:27"
"nn","m","jkblj@gmail.c","Active","7790","Super Student","12-08-2024 21:03:53","12-08-2024 21:03:53"
"sas","as","asd@gamil.com","Active","23423423","Super Student","12-08-2024 21:04:22","12-08-2024 21:04:22"
"Demo UserVivacity","Miss","1733673789421@gmail.com","Active","2734623428","Super Student","12-08-2024 21:33:39","12-08-2024 21:33:39"
"Demo UserVivacity","Miss","1733673906737@gmail.com","Active","2734623428","Super Student","12-08-2024 21:35:37","12-08-2024 21:35:37"
"Demo UserVivacity","Miss","1733673965334@gmail.com","Active","2734623428","Super Student","12-08-2024 21:36:33","12-08-2024 21:36:33"
"Demo UserVivacity","Miss","1733674003462@gmail.com","Active","2734623428","Super Student","12-08-2024 21:37:10","12-08-2024 21:37:10"
"Demo UserVivacity","Miss","1733674180865@gmail.com","Active","2734623428","Super Student","12-08-2024 21:40:12","12-08-2024 21:40:12"
"Demo UserVivacity","Miss","1733723243630@gmail.com","Active","2734623428","Super Student","12-09-2024 11:17:58","12-09-2024 11:17:58"
