record_id,full_name,title,email,user_role,phone,cell_number,user_status
23502,Casey Rossi,Customer Success Rep I,crossi@vivacitytech.com,Vivacity Admin,8648319499,8648319499,Active
24499,Account_Test1,Miss,1720427144794@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24500,Account_Test1,Miss,1720427346649@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24501,Account_Test1,Miss,1720427545322@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24502,Account_Test1,Miss,1720428306933@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24503,Account_Test1,Miss,1720429013635@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24504,Account_Test1,Miss,1720429114056@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24505,Account_Test1,Miss,1720429318835@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24506,Account_Test1,Miss,1720429629587@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24474,Account_Test1,Miss,1719729193113@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24475,Account_Test1,Miss,1719733275389@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24476,Account_Test1,Miss,1719741850595@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24334,Account_Test1,Miss,1719567788276@gmail.com,Super Admin,8648319499,8648319499,Active
24335,Account_Test1,Miss,1719580130799@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24336,Account_Test1,Miss,1719580420864@gmail.com,Vivacity Admin,8648319499,8648319499,Active
24338,Account_Test1,Miss,1719582852013@gmail.com,Vivacity Admin,8648319499,8648319499,Active
